_url,name,birth_year,weight,height,nationality
maciej-bodnar,Maciej  Bodnar,1985.0,77.0,186.0,Poland
yecid-sierra,Yecid Arturo  Sierra,1994.0,66.0,184.0,Colombia
edgar-humberto-ruiz,Edgar-humberto  Ruiz,1971.0,,,Colombia
laurens-de-vreese,Laurens De Vreese,1988.0,78.0,190.0,Belgium
harald-maier,Harald  Maier,1960.0,,,Austria
marco-brenner,Marco  Brenner,2002.0,59.0,181.0,Germany
tony-martin,Tony  Martin,1985.0,75.0,185.0,Germany
jakub-kaczmarek,Jakub  Kaczmarek,1993.0,66.0,181.0,Poland
filippo-zana,Filippo  Zana,1999.0,65.0,185.0,Italy
miguel-angel-pena,Miguel Ángel  Peña,1970.0,,,Spain
robert-alban,Robert  Alban,1952.0,,,France
matteo-bono,Matteo  Bono,1983.0,60.0,171.0,Italy
antonio-coll,Antonio  Coll,1959.0,,,Spain
manuel-mesa,José Manuel  Mesa,1944.0,,,Spain
igor-anton,Igor  Antón,1983.0,64.0,173.0,Spain
raymond-kreder,Raymond  Kreder,1989.0,70.0,177.0,Netherlands
pierre-gautherat,Pierre  Gautherat,2003.0,70.0,177.0,France
cees-jeurissen,Cees  Jeurissen,1976.0,,,Netherlands
anthony-roux,Anthony  Roux,1987.0,73.0,188.0,France
willy-in-t-ven,Willy In 't Ven,1943.0,,,Belgium
dmitry-nelyubin,Dmitry  Nelyubin,1971.0,,,Russia
sebastian-schonberger,Sebastian  Schönberger,1994.0,64.0,181.0,Austria
ennio-salvador,Ennio  Salvador,1960.0,,,Italy
pierrick-fedrigo,Pierrick  Fédrigo,1978.0,66.0,172.0,France
valerio-tebaldi,Valerio  Tebaldi,1965.0,,,Italy
marlon-alirio-perez-arango,Marlon Alirio  Pérez,1976.0,68.0,175.0,Colombia
giampaolo-cheula,Giampaolo  Cheula,1979.0,62.0,178.0,Italy
angel-madrazo,Ángel  Madrazo,1988.0,61.0,171.0,Spain
antonio-tiberi,Antonio  Tiberi,2001.0,62.0,182.0,Italy
vincent-lavenu,Vincent  Lavenu,1956.0,,,France
jacky-coene,Jacky  Coene,1946.0,,,Belgium
gorazd-stangelj,Gorazd  Štangelj,1973.0,70.0,182.0,Slovenia
theo-verschueren,Théo  Verschueren,1943.0,,,Belgium
arvis-piziks,Arvis  Piziks,1969.0,70.0,176.0,Latvia
markus-eichler,Markus  Eichler,1982.0,78.0,185.0,Germany
torsten-hiekmann,Torsten  Hiekmann,1980.0,70.0,183.0,Germany
jelle-vanendert,Jelle  Vanendert,1985.0,62.0,184.0,Belgium
sven-vandousselaere,Sven  Vandousselaere,1988.0,71.0,181.0,Belgium
jean-pierre-berckmans,Jean-Pierre  Berckmans,1948.0,,,Belgium
pierino-primavera,Pierino  Primavera,1945.0,,,Italy
cristian-zanolini,Cristian  Zanolini,1968.0,,,Italy
maurizio-fondriest,Maurizio  Fondriest,1965.0,70.0,182.0,Italy
iban-sastre-estevez,Iban  Sastre,1977.0,,,Spain
fausto-dotti,Fausto  Dotti,1968.0,,,Italy
fabio-sacchi,Fabio  Sacchi,1974.0,68.0,183.0,Italy
pascal-eenkhoorn,Pascal  Eenkhoorn,1997.0,70.0,185.0,Netherlands
jean-zen,Jean  Zen,1981.0,,,France
john-van-asten,John Van Asten,1960.0,,,Netherlands
stefan-schumacher,Stefan  Schumacher,1981.0,71.0,183.0,Germany
mauro-simonetti,Mauro  Simonetti,1948.0,,,Italy
chris-wherry,Chris  Wherry,1973.0,,,United States
eladio-ambite,Eladio  Ambite,1970.0,,,Spain
daniele-pietropolli,Daniele  Pietropolli,1980.0,61.0,174.0,Italy
christian-meier,Christian  Meier,1985.0,61.0,172.0,Canada
davis-phinney,Davis  Phinney,1959.0,,,United States
stefano-della-santa,Stefano Della Santa,1967.0,,,Italy
dietrich-thurau,Dietrich  Thurau,1954.0,,,Germany
arnaud-gerard,Arnaud  Gérard,1984.0,70.0,184.0,France
christophe-lavainne,Christophe  Lavainne,1963.0,,,France
gonzalo-rabunal-rios,Gonzalo  Rabuñal,1984.0,65.0,180.0,Spain
thomas-bonnet,Thomas  Bonnet,1998.0,,175.0,France
jean-jacques-philipp,Jean-Jacques  Philipp,1961.0,,,France
nico-verhoeven,Nico  Verhoeven,1961.0,,,Netherlands
laurent-chotard,Laurent  Chotard,1976.0,,,France
frederic-garnier,Frédéric  Garnier,1964.0,,,France
isaac-canton,Isaac  Cantón,1996.0,65.0,180.0,Spain
alain-vasseur,Alain  Vasseur,1948.0,67.0,175.0,France
jean-pierre-monsere,Jean-Pierre  Monseré,1948.0,66.0,178.0,Belgium
steven-caethoven,Steven  Caethoven,1981.0,67.0,176.0,Belgium
jose-maria-jimenez,José María  Jiménez,1971.0,70.0,187.0,Spain
mattia-cattaneo,Mattia  Cattaneo,1990.0,67.0,184.0,Italy
james-knox,James  Knox,1995.0,58.0,173.0,Great Britain
geert-malfait,Geert  Malfait,1953.0,,,Belgium
david-gaudu,David  Gaudu,1996.0,53.0,172.0,France
michele-laddomada,Michele  Laddomada,1972.0,,,Italy
bjarne-riis,Bjarne  Riis,1964.0,71.0,184.0,Denmark
jose-alberto-benitez-roman,José Alberto  Benítez,1981.0,66.0,180.0,Spain
patrick-busolini2,Patrick  Busolini,1954.0,,,France
roberto-sgambelluri,Roberto  Sgambelluri,1974.0,63.0,175.0,Italy
benno-wiss,Benno  Wiss,1962.0,,,Switzerland
michal-hrazdira,Michal  Hrazdira,1977.0,77.0,189.0,Czech Republic
robert-hunter,Robert  Hunter,1977.0,72.0,178.0,South Africa
raffaello-bonusi,Raffaello  Bonusi,1992.0,,,Italy
harald-morscher,Harald  Morscher,1972.0,,,Austria
thomas-champion,Thomas  Champion,1999.0,70.0,193.0,France
enrico-franzoi,Enrico  Franzoi,1982.0,70.0,178.0,Italy
mateusz-mroz,Mateusz  Mróz,1980.0,,,Poland
manuel-cardoso,Manuel Antonio Leal  Cardoso,1983.0,70.0,179.0,Portugal
michele-rezzani,Michele  Rezzani,1975.0,,,Italy
andrea-dolci,Andrea  Dolci,1969.0,,,Italy
patrick-hosotte,Patrick  Hosotte,1957.0,,,France
sebastian-schwager,Sebastian  Schwager,1984.0,,,Germany
marco-fincato,Marco  Fincato,1970.0,,,Italy
mickael-delage,Mickaël  Delage,1985.0,70.0,180.0,France
andre-chappuis,André  Chappuis,1956.0,,,France
erich-spahn,Erich  Spahn,1948.0,,,Switzerland
wim-van-de-meulenhof,Wim van de Meulenhof,1966.0,,,Netherlands
alfons-scheys,Alfons  Scheys,1947.0,,,Belgium
bruno-cenghialta,Bruno  Cenghialta,1962.0,73.0,184.0,Italy
johan-bruyneel,Johan  Bruyneel,1964.0,71.0,182.0,Belgium
martin-prazdnovsky,Martin  Prázdnovský,1975.0,,,Slovakia
dorian-godon,Dorian  Godon,1996.0,73.0,191.0,France
syver-waersted,Syver  Wærsted,1996.0,,193.0,Norway
antonio-bucciero,Antonio  Bucciero,1982.0,,,Italy
julien-stassen,Julien  Stassen,1988.0,66.0,182.0,Belgium
markus-hoelgaard,Markus  Hoelgaard,1994.0,74.0,188.0,Norway
enrique-martinez,Enrique  Martinez,1953.0,,,Spain
koen-vekemans,Koen  Vekemans,1966.0,,,Belgium
louis-pfenninger,Louis  Pfenninger,1944.0,70.0,183.0,Switzerland
mirko-selvaggi,Mirko  Selvaggi,1985.0,73.0,195.0,Italy
dag-selander,Dag  Selander,1955.0,,,Norway
gianluca-pierobon,Gianluca  Pierobon,1967.0,,,Italy
zico-waeytens,Zico  Waeytens,1991.0,67.0,180.0,Belgium
twan-castelijns,Twan  Castelijns,1989.0,70.0,180.0,Netherlands
roberto-savoldi,Roberto  Savoldi,1975.0,,,Italy
andre-peirsman,André  Peirsman,1948.0,,,Belgium
anass-ait-el-abdia,Anass  Aït El Abdia,1993.0,66.0,180.0,Morocco
dino-bertolo,Dino  Bertolo,1953.0,,,France
mattia-gavazzi,Mattia  Gavazzi,1983.0,70.0,171.0,Italy
david-kopp,David  Kopp,1979.0,68.0,184.0,Germany
simone-campagnari,Simone  Campagnari,1972.0,,,Italy
giairo-ermeti,Giairo  Ermeti,1981.0,60.0,174.0,Italy
fernando-mendes,Fernando dos Reis Dias  Mendes,1946.0,,,Portugal
guillaume-boivin,Guillaume  Boivin,1989.0,78.0,182.0,Canada
harry-steevens,Harry  Steevens,1945.0,73.0,178.0,Netherlands
ruben-dario-beltran,Ruben Dario  Beltran,1964.0,,,Colombia
paul-van-hyfte,Paul Van Hyfte,1972.0,70.0,177.0,Belgium
aketza-pena,Aketza  Peña,1981.0,,,Spain
tom-jelte-slagter,Tom-Jelte  Slagter,1989.0,57.0,169.0,Netherlands
frederik-rodenberg,Frederik  Rodenberg,1998.0,73.0,190.0,Denmark
fiorenzo-favero,Fiorenzo  Favero,1955.0,,,Italy
michael-van-staeyen,Michael Van Staeyen,1988.0,62.0,167.0,Belgium
inaki-isasi-flores,Iñaki  Isasi,1977.0,70.0,181.0,Spain
jens-mouris,Jens  Mouris,1980.0,91.0,198.0,Netherlands
frans-verbeeck,Frans  Verbeeck,1941.0,,,Belgium
dion-smith,Dion  Smith,1993.0,67.0,179.0,New Zealand
lennert-van-eetvelt,Lennert Van Eetvelt,2001.0,63.0,176.0,Belgium
lars-boven,Lars  Boven,2001.0,62.0,172.0,Netherlands
jose-del-ramo,José Del Ramo,1960.0,,,Spain
christophe-laborie,Christophe  Laborie,1986.0,67.0,181.0,France
karl-maxon,Karl  Maxon,1959.0,,,United States
diego-magoni,Diego  Magoni,1955.0,,,Italy
dirk-friel,Dirk  Friel,1970.0,,,United States
tobias-foss,Tobias  Foss,1997.0,74.0,184.0,Norway
noel-vantyghem,Noël  Vantyghem,1947.0,,,Belgium
tomas-konecny,Tomáš  Konečný,1973.0,67.0,178.0,Czech Republic
daniel-summerhill,Daniel  Summerhill,1989.0,70.0,185.0,United States
christian-dumont,Christian  Dumont,1956.0,,,Belgium
ettore-badolato,Ettore  Badolato,1964.0,,,Italy
daniel-beelen,Daniel  Beelen,1966.0,,,Belgium
nicolas-vogondy,Nicolas  Vogondy,1977.0,62.0,172.0,France
david-gutierrez-palacios,David  Gutiérrez Palacios,1987.0,,,Spain
ben-zwiehoff,Ben  Zwiehoff,1994.0,61.0,182.0,Germany
bert-pronk,Bert  Pronk,1950.0,,,Netherlands
wilfried-wesemael,Wilfried  Wesemael,1950.0,,,Belgium
ludo-frijns,Ludo  Frijns,1957.0,,,Belgium
oleg-iarochenko,Oleg  Iarochenko,1962.0,,,Russia
andrei-vedernikov,Andrei  Vedernikov,1959.0,,,Russia
juan-martinez-oliver,Juan  Martínez,1964.0,,,Spain
thomas-pidcock,Thomas  Pidcock,1999.0,58.0,170.0,Great Britain
gerhard-trampusch,Gerhard  Trampusch,1978.0,60.0,173.0,Austria
alessandro-proni,Alessandro  Proni,1982.0,68.0,183.0,Italy
javier-aramendia,Javier  Aramendia,1986.0,72.0,187.0,Spain
maryan-hary,Maryan  Hary,1980.0,68.0,185.0,France
jose-francisco,Jose Francisco  Jarque,1971.0,,,Spain
alessandro-spezialetti,Alessandro  Spezialetti,1975.0,67.0,179.0,Italy
ludovic-robeet,Ludovic  Robeet,1994.0,75.0,194.0,Belgium
christian-poos,Christian  Poos,1977.0,,,Luxembourg
timofey-kritskiy,Timofey  Kritskiy,1987.0,81.0,190.0,Russia
john-baldi,John  Baldi,1966.0,,,Italy
ad-wijnands,Ad  Wijnands,1959.0,,,Netherlands
yvan-haymoz,Yvan  Haymoz,1975.0,,,Switzerland
antoine-demoitie,Antoine  Demoitié,1990.0,69.0,180.0,Belgium
franco-vona,Franco  Vona,1964.0,,,Italy
pieter-mertens,Pieter  Mertens,1980.0,67.0,181.0,Belgium
asier-guenetxea,Asier  Guenetxea,1970.0,,,Spain
milan-menten,Milan  Menten,1996.0,68.0,174.0,Belgium
laurence-pithie,Laurence  Pithie,2002.0,74.0,185.0,New Zealand
eric-de-clercq,Eric De Clercq,1967.0,,,Belgium
mart-ojavee,Mart  Ojavee,1981.0,80.0,183.0,Estonia
giovanni-paolo-bottoia,Giovanni Paolo  Bottoia,1962.0,,,Italy
thomas-durst,Thomas  Durst,1967.0,,,Germany
rene-koppert,René  Koppert,1960.0,,,Netherlands
baden-cooke,Baden  Cooke,1978.0,75.0,180.0,Australia
jose-luis-navarro,José Luis  Navarro,1962.0,,,Spain
maxim-belkov,Maxim  Belkov,1985.0,71.0,184.0,Russia
pedro-jimenez-villanueva,Pedro  Jiménez,1974.0,,,Spain
angel-gomez-gomez,Ángel  Gómez,1981.0,68.0,183.0,Spain
andrea-peron-1,Andrea  Peron,1971.0,70.0,183.0,Italy
jonas-rickaert,Jonas  Rickaert,1994.0,88.0,187.0,Belgium
eric-baumann,Eric  Baumann,1980.0,72.0,177.0,Germany
kevin-geniets,Kevin  Geniets,1997.0,73.0,193.0,Luxembourg
juan-carlos-martin,Juan Carlos  Martin,1967.0,,,Spain
eddy-beugels,Eddy  Beugels,1944.0,,,Netherlands
jacques-van-meer,Jacques van Meer,1958.0,,,Netherlands
matthew-stephens,Matthew  Stephens,1970.0,64.0,182.0,Great Britain
loe-van-belle,Loe van Belle,2002.0,,184.0,Netherlands
leonardo-scarselli,Leonardo  Scarselli,1975.0,67.0,180.0,Italy
maxime-mederel,Maxime  Méderel,1980.0,59.0,173.0,France
lukas-ruegg,Lukas  Rüegg,1996.0,66.0,177.0,Switzerland
javier-etxarri-marin,Javier  Etxarri,1986.0,,,Spain
serge-vandaele,Serge  Vandaele,1952.0,,,Belgium
jasper-de-buyst,Jasper De Buyst,1993.0,72.0,179.0,Belgium
regis-ovion,Régis  Ovion,1949.0,64.0,177.0,France
ethan-hayter,Ethan  Hayter,1998.0,69.0,180.0,Great Britain
sander-armee,Sander  Armée,1985.0,72.0,190.0,Belgium
james-whelan,James  Whelan,1996.0,64.0,185.0,Australia
stefan-van-leeuwe,Stefan Van Leeuwe,1963.0,,,Belgium
angelo-pagani,Angelo  Pagani,1988.0,68.0,176.0,Italy
marco-chagas,Marco António  Chagas,1956.0,,,Portugal
luis-casas,Luis  Casas,1953.0,,,Spain
fernando-serrano-sanchez,Fernando  Serrano,1979.0,,,Spain
lars-wahlqvist,Lars  Wahlqvist,1964.0,,,Sweden
nathan-earle,Nathan  Earle,1988.0,70.0,180.0,Australia
claudio-bartoli,Claudio  Bartoli,1979.0,,,Italy
gianluigi-barsotelli,Gianluigi  Barsotelli,1965.0,,,Italy
bruno-zanoni,Bruno  Zanoni,1952.0,,,Italy
tom-stamsnijder,Tom  Stamsnijder,1985.0,76.0,191.0,Netherlands
victor-hugo-pena,Victor Hugo  Peña,1974.0,65.0,178.0,Colombia
jaime-alberto-castaneda,Jaime Alberto  Castañeda,1986.0,,,Colombia
hector-guerra-garcia,Héctor  Guerra,1978.0,,,Spain
mario-beccia,Mario  Beccia,1955.0,,,Italy
jan-valach,Ján  Valach,1973.0,75.0,194.0,Slovakia
adam-roberge,Adam  Roberge,1997.0,72.0,194.0,Canada
humberto-contreras,Humberto  Contreras,1972.0,,,Colombia
asiat-saitov,Asiat  Saitov,1965.0,,,Russia
antonio-angulo,Antonio  Angulo,1992.0,67.0,175.0,Spain
justin-jules,Justin  Jules,1986.0,64.0,167.0,France
jan-polanc,Jan  Polanc,1992.0,62.0,172.0,Slovenia
ciaran-power,Ciarán  Power,1976.0,68.0,184.0,Ireland
jenthe-biermans,Jenthe  Biermans,1995.0,78.0,184.0,Belgium
viktor-rjaksinski,Viktor  Rjaksinski,1967.0,,,Ukraine
etienne-de-beule,Etienne De Beule,1953.0,,,Belgium
hans-kanel2,Hans  Känel,1953.0,,,Switzerland
roberto-lozano,Roberto  Lozano,1977.0,,,Spain
sergey-klimov,Sergey  Klimov,1980.0,69.0,183.0,Russia
daniel-rossel,Daniel  Rossel,1960.0,,,Belgium
javier-murguialday,Javier  Murguialday,1962.0,58.0,164.0,Spain
wilson-alexander-marentes,Wilson Alexander  Marentes,1985.0,,,Colombia
rik-van-looy,Rik Van Looy,1933.0,73.0,178.0,Belgium
jean-patrick-nazon,Jean-Patrick  Nazon,1977.0,74.0,182.0,France
marek-canecky,Marek  Čanecký,1988.0,72.0,187.0,Slovakia
stefan-kung,Stefan  Küng,1993.0,83.0,193.0,Switzerland
mathew-hayman,Mathew  Hayman,1978.0,78.0,190.0,Australia
negasi-abreha,Negasi Haylu  Abreha,2000.0,,186.0,Ethiopia
robin-chaigneau,Robin  Chaigneau,1988.0,80.0,185.0,Netherlands
jean-jacques-henry,Jean-Jacques  Henry,1967.0,,,France
davide-baldaccini,Davide  Baldaccini,1998.0,,176.0,Italy
laudelino-cubino,Laudelino  Cubino,1963.0,,,Spain
joel-suter,Joel  Suter,1998.0,75.0,190.0,Switzerland
arnoud-van-groen,Arnoud van Groen,1983.0,69.0,183.0,Netherlands
youri-perunovski,Youri  Perunovski,1963.0,,,Russia
cesar-perez-padron,César  Pérez,1973.0,,,Spain
laurent-pillon,Laurent  Pillon,1964.0,,,France
kurt-steinmann,Kurt  Steinmann,1962.0,,,Switzerland
damiano-caruso,Damiano  Caruso,1987.0,67.0,179.0,Italy
eric-jacques,Eric  Jacques,1953.0,,,Belgium
